,LC_01,LC_02,LC_03,LC_04,LC_05,LC_06,LC_07,LC_08,LC_09,LC_10,LC_11,LC_12,LC_13,LC_14,LC_15,LC_16,LC_17,LC_18,LC_19,LC_20,LC_21,LC_22,W1_01,W1_02,W1_03,W1_04,W1_05,W1_06,W1_07,W1_08,W1_09,W1_10,W1_11,W1_12,W1_13,W1_14,W1_15,W1_16,W1_17,W1_18,W1_19,W1_20,W1_21,W1_22
LC_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC_02,1838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC_03,4618,2780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC_04,5537,3650,870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC_05,5676,3593,813,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC_06,5349,3511,731,188,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC_07,10320,8433,5653,4783,4922,4971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC_08,9934,8047,5267,4397,4536,4585,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC_09,8541,6703,3923,3249,3110,3192,8032,7646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC_10,8760,6922,4142,3468,3329,3411,8251,7865,469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC_11,13414,11576,8796,7926,8065,8114,3143,6143,11175,11394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC_12,13527,11689,8909,8039,8178,8227,3256,6256,11288,11507,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC_13,8426,6588,3808,3134,2995,3077,7917,7531,368,586,11060,11173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC_14,8132,6294,3514,2840,2701,2783,7623,7237,674,891,10766,10879,482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC_15,10286,8448,5668,4994,4855,4937,9777,9391,2284,2488,12920,13033,1906,2413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC_16,5146,3308,528,778,639,557,5561,5175,3749,3968,8704,8817,3634,3340,5494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC_17,10246,8408,5628,4954,4815,4897,9737,9351,2255,2459,12880,12993,1877,2384,2011,5454,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC_18,14443,12605,9825,9151,9012,9094,13934,13548,6452,6656,17077,17190,6074,6581,6208,9651,4197,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC_19,13489,11651,8871,8197,8058,8140,12980,12594,5498,5702,16123,16236,5120,5627,5254,8697,3243,1474,,,,,,,,,,,,,,,,,,,,,,,,,,
LC_20,16598,14760,11980,11306,11167,11249,16089,15703,8607,8811,19232,19345,8229,8736,8363,11806,6352,2155,3629,,,,,,,,,,,,,,,,,,,,,,,,,
LC_21,11468,9630,6850,6176,6037,6119,10959,10573,3477,3681,14102,14215,3099,3606,3233,6676,1222,3311,2517,5466,,,,,,,,,,,,,,,,,,,,,,,,
LC_22,10518,8680,5900,5226,5087,5169,10009,9623,2527,2731,13152,13265,2149,2656,2283,5726,272,4154,3359,6309,1154,,,,,,,,,,,,,,,,,,,,,,,
W1_01,1081,2919,5699,6618,6757,6430,11401,11015,9622,9841,14495,14608,9507,9213,11367,6227,11327,15524,14570,17679,12549,11599,,,,,,,,,,,,,,,,,,,,,,
W1_02,1082,2920,5700,6619,6758,6431,11402,11016,9623,9842,14496,14609,9508,9214,11368,6228,11328,15525,14571,17680,12550,11600,1,,,,,,,,,,,,,,,,,,,,,
W1_03,1155,2993,5773,6692,6831,6504,11475,11089,9696,9915,14569,14682,9581,9287,11441,6301,11401,15598,14644,17753,12623,11673,74,74,,,,,,,,,,,,,,,,,,,,
W1_04,1344,3182,5962,6881,7020,6693,11664,11278,9885,10104,14758,14871,9770,9476,11630,6490,11590,15787,14833,17942,12812,11862,263,263,189,,,,,,,,,,,,,,,,,,,
W1_05,1344,3182,5962,6881,7020,6693,11664,11278,9885,10104,14758,14871,9770,9476,11630,6490,11590,15787,14833,17942,12812,11862,263,263,189,1,,,,,,,,,,,,,,,,,,
W1_06,1344,3182,5962,6881,7020,6693,11664,11278,9885,10104,14758,14871,9770,9476,11630,6490,11590,15787,14833,17942,12812,11862,263,263,189,5,5,,,,,,,,,,,,,,,,,
W1_07,1344,3182,5962,6881,7020,6693,11664,11278,9885,10104,14758,14871,9770,9476,11630,6490,11590,15787,14833,17942,12812,11862,263,263,189,5,5,1,,,,,,,,,,,,,,,,
W1_08,1454,3292,6072,6991,7130,6803,11774,11388,9995,10214,14868,14981,9880,9586,11740,6600,11700,15897,14943,18052,12922,11972,373,373,299,110,110,110,110,,,,,,,,,,,,,,,
W1_09,1454,3292,6072,6991,7130,6803,11774,11388,9995,10214,14868,14981,9880,9586,11740,6600,11700,15897,14943,18052,12922,11972,373,373,299,110,110,110,110,1,,,,,,,,,,,,,,
W1_10,1454,3292,6072,6991,7130,6803,11774,11388,9995,10214,14868,14981,9880,9586,11740,6600,11700,15897,14943,18052,12922,11972,373,373,299,110,110,110,110,1,1,,,,,,,,,,,,,
W1_11,1671,3509,6289,7208,7347,7020,11991,11605,10212,10431,15085,15198,10097,9803,11957,6817,11917,16114,15160,18269,13139,12189,590,590,516,327,327,327,327,217,217,217,,,,,,,,,,,,
W1_12,1886,3724,6504,7423,7562,7235,12206,11820,10427,10646,15300,15413,10312,10018,12172,7032,12132,16329,15375,18484,13354,12404,805,805,731,542,542,542,542,432,432,432,215,,,,,,,,,,,
W1_13,1886,3724,6504,7423,7562,7235,12206,11820,10427,10646,15300,15413,10312,10018,12172,7032,12132,16329,15375,18484,13354,12404,805,805,731,542,542,542,542,432,432,432,215,1,,,,,,,,,,
W1_14,1898,3736,6516,7435,7574,7247,12218,11832,10439,10658,15312,15425,10324,10030,12184,7044,12144,16341,15387,18496,13366,12416,817,817,743,554,554,554,554,444,444,444,227,12,12,,,,,,,,,
W1_15,1898,3736,6516,7435,7574,7247,12218,11832,10439,10658,15312,15425,10324,10030,12184,7044,12144,16341,15387,18496,13366,12416,817,817,743,554,554,554,554,444,444,444,227,12,12,1,,,,,,,,
W1_16,1928,3766,6546,7465,7604,7277,12248,11862,10469,10688,15342,15455,10354,10060,12214,7074,12174,16371,15417,18526,13396,12446,847,847,773,584,584,584,584,474,474,474,257,42,42,30,30,,,,,,,
W1_17,1928,3766,6546,7465,7604,7277,12248,11862,10469,10688,15342,15455,10354,10060,12214,7074,12174,16371,15417,18526,13396,12446,847,847,773,584,584,584,584,474,474,474,257,42,42,30,30,1,,,,,,
W1_18,1933,3771,6551,7470,7609,7282,12253,11867,10474,10693,15347,15460,10359,10065,12219,7079,12179,16376,15422,18531,13401,12451,852,852,778,589,589,589,589,479,479,479,262,47,47,35,35,35,35,,,,,
W1_19,1933,3771,6551,7470,7609,7282,12253,11867,10474,10693,15347,15460,10359,10065,12219,7079,12179,16376,15422,18531,13401,12451,852,852,778,589,589,589,589,479,479,479,262,47,47,35,35,35,35,1,,,,
W1_20,2178,4016,6796,7715,7854,7527,12498,12112,10719,10938,15592,15705,10604,10310,12464,7324,12424,16621,15667,18776,13646,12696,1097,1097,1023,834,834,834,834,724,724,724,507,292,292,280,280,250,250,315,315,,,
W1_21,1243,3081,5861,6780,6919,6592,11563,11177,9784,10003,14657,14770,9669,9375,11529,6389,11489,15686,14732,17841,12711,11761,162,162,88,101,101,101,101,211,211,211,428,643,643,655,655,685,685,685,685,935,,
W1_22,1243,3081,5861,6780,6919,6592,11563,11177,9784,10003,14657,14770,9669,9375,11529,6389,11489,15686,14732,17841,12711,11761,162,162,88,101,101,101,101,211,211,211,428,643,643,655,655,685,685,685,685,935,1,