sample,date,time,latitude,longitude,watershed,site,habitat,microhabitat,elevation,temperature,sp_cond,conductivity,tds,salinity,ph,orp,TN,TP,DOC
LC_01_S,4-Jun-15,11:59,44.2136167,-122.2524083,LC,LC_01,sediment,NA,564,14.34,40,32,0.026,0.02,7,40.5,-41.29716981,9.942387363,1.735
LC_01_W,4-Jun-15,11:59,44.2136167,-122.2524083,LC,LC_01,water,NA,564,14.34,40,32,0.026,0.02,7,40.5,-41.29716981,9.942387363,1.735
LC_02_S,4-Jun-15,13:43,44.2228278,-122.2409,LC,LC_02,sediment,NA,486,14.15,39,31,0.026,0.02,7.18,47.6,-41.29716981,14.20050961,1.562
LC_02_W,4-Jun-15,13:43,44.2228278,-122.2409,LC,LC_02,water,NA,486,14.15,39,31,0.026,0.02,7.18,47.6,-41.29716981,14.20050961,1.562
LC_03_S,4-Jun-15,15:32,44.2308917,-122.2175722,LC,LC_03,sediment,NA,542,14.65,38,31,0.025,0.02,7.21,53.6,-49.97641509,14.35258541,1.828
LC_03_W,4-Jun-15,15:32,44.2308917,-122.2175722,LC,LC_03,water,NA,542,14.65,38,31,0.025,0.02,7.21,53.6,-49.97641509,14.35258541,1.828
LC_04_S,5-Jun-15,11:28,44.2336778,-122.2079722,LC,LC_04,sediment,NA,542,12.61,35,27,0.023,0.02,7.09,57.8,-80.35377358,10.27188492,1.345
LC_04_W,5-Jun-15,11:28,44.2336778,-122.2079722,LC,LC_04,water,NA,542,12.61,35,27,0.023,0.02,7.09,57.8,-80.35377358,10.27188492,1.345
LC_05_S,5-Jun-15,12:46,44.2331,-122.2091306,LC,LC_05,sediment,NA,553,12.27,39,30,0.026,0.02,7.17,53.7,93.23113208,15.13831035,1.644
LC_05_W,5-Jun-15,12:46,44.2331,-122.2091306,LC,LC_05,water,NA,553,12.27,39,30,0.026,0.02,7.17,53.7,93.23113208,15.13831035,1.644
LC_06_S,5-Jun-15,13:49,44.2335556,-122.2099694,LC,LC_06,sediment,NA,544,12.5,38,29,0.025,0.02,7.01,60.9,58.51415094,11.79264287,2.205
LC_06_W,5-Jun-15,13:49,44.2335556,-122.2099694,LC,LC_06,water,NA,544,12.5,38,29,0.025,0.02,7.01,60.9,58.51415094,11.79264287,2.205
LC_07_S,7-Jun-15,12:53,44.2554778,-122.1682083,LC,LC_07,sediment,NA,867,13.3,31,24,0.02,0.01,6.86,35.6,67.19339623,4.138161201,1.58
LC_07_W,7-Jun-15,12:53,44.2554778,-122.1682083,LC,LC_07,water,NA,867,13.3,31,24,0.02,0.01,6.86,35.6,67.19339623,4.138161201,1.58
LC_08_S,7-Jun-15,13:37,44.2581778,-122.1806139,LC,LC_08,sediment,NA,803,14.5,47,38,0.031,0.02,6.98,43.2,-80.35377358,19.52316243,2.604
LC_08_W,7-Jun-15,13:37,44.2581778,-122.1806139,LC,LC_08,water,NA,803,14.5,47,38,0.031,0.02,6.98,43.2,-80.35377358,19.52316243,2.604
LC_09_S,8-Jun-15,11:04,44.2319222,-122.1775278,LC,LC_09,sediment,NA,673,14.45,55,44,0.036,0.02,6.8,21,71.53301887,37.92433358,0.9956
LC_09_W,8-Jun-15,11:04,44.2319222,-122.1775278,LC,LC_09,water,NA,673,14.45,55,44,0.036,0.02,6.8,21,71.53301887,37.92433358,0.9956
LC_10_S,8-Jun-15,11:24,44.2312528,-122.173975,LC,LC_10,sediment,NA,680,13.95,45,36,0.029,0.02,7.1,-12,62.85377358,10.85484213,1.324
LC_10_W,8-Jun-15,11:24,44.2312528,-122.173975,LC,LC_10,water,NA,680,13.95,45,36,0.029,0.02,7.1,-12,62.85377358,10.85484213,1.324
LC_11_S,8-Jun-15,12:29,44.2722667,-122.1454556,LC,LC_11,sediment,NA,1215,10.3,21,15,0.014,0.01,7.29,1.2,-54.31603774,-0.95637792,1.668
LC_11_W,8-Jun-15,12:29,44.2722667,-122.1454556,LC,LC_11,water,NA,1215,10.3,21,15,0.014,0.01,7.29,1.2,-54.31603774,-0.95637792,1.668
LC_12_W,8-Jun-15,14:42,44.272075,-122.143375,LC,LC_12,water,NA,1230,11.19,34,25,0.022,0.01,6.61,25.6,62.85377358,1.831678315,1.415
LC_13_S,9-Jun-15,12:40,44.2291917,-122.1777667,LC,LC_13,sediment,NA,626,12.53,42,32,0.027,0.02,7.1,48.6,-41.29716981,18.53466976,2.72
LC_13_W,9-Jun-15,12:40,44.2291917,-122.1777667,LC,LC_13,water,NA,626,12.53,42,32,0.027,0.02,7.1,48.6,-41.29716981,18.53466976,2.72
LC_14_S,9-Jun-15,14:02,44.2298583,-122.1819194,LC,LC_14,sediment,NA,638,14.28,35,28,0.023,0.02,7.21,29.8,67.19339623,6.520681984,1.58
LC_14_W,9-Jun-15,14:02,44.2298583,-122.1819194,LC,LC_14,water,NA,638,14.28,35,28,0.023,0.02,7.21,29.8,67.19339623,6.520681984,1.58
LC_15_S,9-Jun-15,14:46,44.21895,-122.1669417,LC,LC_15,sediment,NA,745,14.87,37,29,0.024,0.02,7.12,37.5,-58.65566038,12.19817832,1.809
LC_15_W,9-Jun-15,14:46,44.21895,-122.1669417,LC,LC_15,water,NA,745,14.87,37,29,0.024,0.02,7.12,37.5,-58.65566038,12.19817832,1.809
LC_16_S,9-Jun-15,15:45,44.2309472,-122.2137222,LC,LC_16,sediment,NA,554,18.12,59,52,0.039,0.03,7.19,26.4,32.47641509,28.723748,1.405
LC_16_W,9-Jun-15,15:45,44.2309472,-122.2137222,LC,LC_16,water,NA,554,18.12,59,52,0.039,0.03,7.19,26.4,32.47641509,28.723748,1.405
LC_17_S,9-Jun-15,17:07,44.2318,-122.1596833,LC,LC_17,sediment,NA,739,14.64,46,37,0.03,0.02,7.23,33,-32.61792453,12.35025411,1.879
LC_17_W,9-Jun-15,17:07,44.2318,-122.1596833,LC,LC_17,water,NA,739,14.64,46,37,0.03,0.02,7.23,33,-32.61792453,12.35025411,1.879
LC_18_S,9-Jun-15,17:40,44.22225,-122.1177611,LC,LC_18,sediment,NA,922,13.89,21,17,0.014,0.01,7.24,32.4,84.55188679,-1.108453715,1.32
LC_18_W,9-Jun-15,17:40,44.22225,-122.1177611,LC,LC_18,water,NA,922,13.89,21,17,0.014,0.01,7.24,32.4,84.55188679,-1.108453715,1.32
LC_19_S,10-Jun-15,12:28,44.2296389,-122.1240972,LC,LC_19,sediment,NA,932,7.69,55,37,0.036,0.02,6.35,42.9,-54.31603774,33.94501695,1.789
LC_19_W,10-Jun-15,12:28,44.2296389,-122.1240972,LC,LC_19,water,NA,932,7.69,55,37,0.036,0.02,6.35,42.9,-54.31603774,33.94501695,1.789
LC_20_S,10-Jun-15,12:39,44.2074778,-122.1196917,LC,LC_20,sediment,NA,1210,11.99,19,14,0.012,0.01,6.94,-16.1,32.47641509,1.654256555,1.745
LC_20_W,10-Jun-15,12:39,44.2074778,-122.1196917,LC,LC_20,water,NA,1210,11.99,19,14,0.012,0.01,6.94,-16.1,32.47641509,1.654256555,1.745
LC_21_S,10-Jun-15,16:03,44.2339722,-122.1471639,LC,LC_21,sediment,NA,803,10.97,56,41,0.037,0.03,6.54,32.1,62.85377358,37.3160304,1.323
LC_21_W,10-Jun-15,16:03,44.2339722,-122.1471639,LC,LC_21,water,NA,803,10.97,56,41,0.037,0.03,6.54,32.1,62.85377358,37.3160304,1.323
LC_22_S,10-Jun-15,16:24,44.2344389,-122.1566472,LC,LC_22,sediment,NA,783,12.55,55,42,0.036,0.03,6.95,14.9,41.15566038,31.43576634,2.649
LC_22_W,10-Jun-15,16:24,44.2344389,-122.1566472,LC,LC_22,water,NA,783,12.55,55,42,0.036,0.03,6.95,14.9,41.15566038,31.43576634,2.649
W1_01_S,29-May-15,12:53,44.207958,-122.258106,WS01,W1_01,sediment,Pool,450,14.83,40,32,0.026,0.02,7.35,11,67.19339623,23.2490194,1.198
W1_01_W,29-May-15,12:53,44.207958,-122.258106,WS01,W1_01,water,Pool,450,14.83,40,32,0.026,0.02,7.35,11,67.19339623,23.2490194,1.198
W1_02_S,29-May-15,12:53,44.207958,-122.258106,WS01,W1_02,sediment,Riffle,450,15.57,30,25,0.02,0.01,7.33,25.2,71.53301887,21.98172111,1.957
W1_02_W,29-May-15,12:53,44.207958,-122.258106,WS01,W1_02,water,Riffle,450,15.57,30,25,0.02,0.01,7.33,25.2,71.53301887,21.98172111,1.957
W1_03_S,28-May-15,12:07,44.208214,-122.257747,WS01,W1_03,sediment,Riffle,450,12,53,40,0.034,0.02,7.23,59.9,54.1745283,19.04158908,1.497
W1_03_W,28-May-15,12:07,44.208214,-122.257747,WS01,W1_03,water,Riffle,450,12,53,40,0.034,0.02,7.23,59.9,54.1745283,19.04158908,1.497
W1_04_S,25-May-15,13:52,44.207,-122.254925,WS01,W1_04,sediment,Pool,477,11.32,55,40,0.036,0.02,7.16,-49.3,80.21226415,33.89432502,1.171
W1_04_W,25-May-15,13:52,44.207,-122.254925,WS01,W1_04,water,Pool,477,11.32,55,40,0.036,0.02,7.16,-49.3,80.21226415,33.89432502,1.171
W1_05_S,25-May-15,13:52,44.207,-122.254925,WS01,W1_05,sediment,Riffle,477,11.1,6,5,0.004,0,6.94,-43.5,84.55188679,18.66139959,1.078
W1_05_W,25-May-15,13:52,44.207,-122.254925,WS01,W1_05,water,Riffle,477,11.1,6,5,0.004,0,6.94,-43.5,84.55188679,18.66139959,1.078
W1_06_S,25-May-15,14:50,44.206147,-122.255781,WS01,W1_06,sediment,Pool,489,10.89,54,39,0.035,0.02,6.9,-32.6,149.6462264,24.38958786,1.898
W1_06_W,25-May-15,14:50,44.206147,-122.255781,WS01,W1_06,water,Pool,489,10.89,54,39,0.035,0.02,6.9,-32.6,149.6462264,24.38958786,1.898
W1_07_S,25-May-15,14:50,44.206147,-122.255781,WS01,W1_07,sediment,Riffle,489,11.43,54,40,0.035,0.02,7.08,-56.9,-54.31603774,25.9863837,1.289
W1_07_W,25-May-15,14:50,44.206147,-122.255781,WS01,W1_07,water,Riffle,489,11.43,54,40,0.035,0.02,7.08,-56.9,-54.31603774,25.9863837,1.289
W1_08_S,26-May-15,NA,44.205889,-122.254578,WS01,W1_08,sediment,Riffle,541,9.67,29,20,0.019,0.01,8.33,-58.4,-54.31603774,36.60634336,1.556
W1_08_W,26-May-15,NA,44.205889,-122.254578,WS01,W1_08,water,Riffle,541,9.67,29,20,0.019,0.01,8.33,-58.4,-54.31603774,36.60634336,1.556
W1_09_S,26-May-15,NA,44.205889,-122.254578,WS01,W1_09,sediment,Riffle,541,11.18,11,8,0.007,0,7.18,-47.2,114.9292453,23.85732257,1.309
W1_09_W,26-May-15,NA,44.205889,-122.254578,WS01,W1_09,water,Riffle,541,11.18,11,8,0.007,0,7.18,-47.2,114.9292453,23.85732257,1.309
W1_10_S,26-May-15,NA,44.205889,-122.254578,WS01,W1_10,sediment,Pool,541,11.2,54,40,0.035,0.02,7.07,-56.7,19.45754717,20.89184458,1.47
W1_10_W,26-May-15,NA,44.205889,-122.254578,WS01,W1_10,water,Pool,541,11.2,54,40,0.035,0.02,7.07,-56.7,19.45754717,20.89184458,1.47
W1_11_S,26-May-15,20:19,44.205353,-122.252233,WS01,W1_11,sediment,Riffle,550,11.22,56,41,0.036,0.03,7.61,-24.4,119.2688679,22.15914287,1.666
W1_11_W,26-May-15,20:19,44.205353,-122.252233,WS01,W1_11,water,Riffle,550,11.22,56,41,0.036,0.03,7.61,-24.4,119.2688679,22.15914287,1.666
W1_12_S,26-May-15,14:38,44.204856,-122.249808,WS01,W1_12,sediment,Pool,576,11.18,58,43,0.038,0.03,7.76,2.3,71.53301887,24.44027979,1.051
W1_12_W,26-May-15,14:38,44.204856,-122.249808,WS01,W1_12,water,Pool,576,11.18,58,43,0.038,0.03,7.76,2.3,71.53301887,24.44027979,1.051
W1_13_S,26-May-15,14:38,44.204856,-122.249808,WS01,W1_13,sediment,Riffle,576,11.21,41,30,0.026,0.02,7.31,-5.6,10.77830189,23.62920888,2.638
W1_13_W,26-May-15,14:38,44.204856,-122.249808,WS01,W1_13,water,Riffle,576,11.21,41,30,0.026,0.02,7.31,-5.6,10.77830189,23.62920888,2.638
W1_14_S,28-May-15,14:49,44.204814,-122.249864,WS01,W1_14,sediment,Pool,592,12.98,62,48,0.04,0.03,7.35,45.9,54.1745283,19.67523822,1.424
W1_14_W,28-May-15,14:49,44.204814,-122.249864,WS01,W1_14,water,Pool,592,12.98,62,48,0.04,0.03,7.35,45.9,54.1745283,19.67523822,1.424
W1_15_S,28-May-15,14:49,44.204814,-122.249864,WS01,W1_15,sediment,Riffle,592,13.24,63,49,0.041,0.03,7.51,30.8,106.25,20.48630913,1.175
W1_15_W,28-May-15,14:49,44.204814,-122.249864,WS01,W1_15,water,Riffle,592,13.24,63,49,0.041,0.03,7.51,30.8,106.25,20.48630913,1.175
W1_16_S,28-May-15,15:32,44.205114,-122.249656,WS01,W1_16,sediment,Pool,581,12.99,25,20,0.016,0.01,7.56,27.2,71.53301887,13.6175524,1.902
W1_16_W,28-May-15,15:32,44.205114,-122.249656,WS01,W1_16,water,Pool,581,12.99,25,20,0.016,0.01,7.56,27.2,71.53301887,13.6175524,1.902
W1_17_S,28-May-15,15:32,44.205114,-122.249656,WS01,W1_17,sediment,Riffle,581,13.18,27,21,0.017,0.01,7.59,23.8,71.53301887,14.55535313,1.945
W1_17_W,28-May-15,15:32,44.205114,-122.249656,WS01,W1_17,water,Riffle,581,13.18,27,21,0.017,0.01,7.59,23.8,71.53301887,14.55535313,1.945
W1_18_S,29-May-15,16:31,44.204544,-122.249744,WS01,W1_18,sediment,Pool,591,14.95,39,31,0.025,0.02,7.24,30.2,93.23113208,21.80429935,2.961
W1_18_W,29-May-15,16:31,44.204544,-122.249744,WS01,W1_18,water,Pool,591,14.95,39,31,0.025,0.02,7.24,30.2,93.23113208,21.80429935,2.961
W1_19_S,29-May-15,16:31,44.204544,-122.249744,WS01,W1_19,sediment,Riffle,591,14.61,37,30,0.024,0.02,7.26,22.6,119.2688679,23.0969436,1.532
W1_19_W,29-May-15,16:31,44.204544,-122.249744,WS01,W1_19,water,Riffle,591,14.61,37,30,0.024,0.02,7.26,22.6,119.2688679,23.0969436,1.532
W1_20_S,2-Jun-15,12:44,44.20295,-122.249614,WS01,W1_20,sediment,Pool,644,12.9,25,19,0.016,0.01,7.17,35.5,NA,554.2216564,1.573
W1_20_W,2-Jun-15,12:44,44.20295,-122.249614,WS01,W1_20,water,Pool,644,12.9,25,19,0.016,0.01,7.17,35.5,NA,554.2216564,1.573
W1_21_S,3-Jun-15,17:21,44.207053,-122.256483,WS01,W1_21,sediment,Pool,470,12.87,54,41,0.035,0.02,7.11,44,84.55188679,23.73059275,1.419
W1_21_W,3-Jun-15,17:21,44.207053,-122.256483,WS01,W1_21,water,Pool,470,12.87,54,41,0.035,0.02,7.11,44,84.55188679,23.73059275,1.419
W1_22_S,3-Jun-15,17:21,44.207053,-122.256483,WS01,W1_22,sediment,Riffle,470,12.83,51,39,0.034,0.02,7.16,36.8,88.89150943,18.07844238,1.946
W1_22_W,3-Jun-15,17:21,44.207053,-122.256483,WS01,W1_22,water,Riffle,470,12.83,51,39,0.034,0.02,7.16,36.8,88.89150943,18.07844238,1.946